analysis,applications,artificial,assistants,changing,chatbots,classification,computers,data,deep,easier,helps,human,intelligence,language,learn,learning,machine,makes,many,natural,part,powerful,prediction,processing,programming,python,real,science,statistics,understand,used,uses,virtual,widely,world
0.0,0.0,0.4103053980840056,0.0,0.6205195423148389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103053980840056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274983016196679
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4456147332686339,0.38986023464163694,0.0,0.0,0.4456147332686339,0.0,0.0,0.0,0.5241962855379397,0.2814033627407261,0.31127868237233114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047481833161358,0.0,0.0,0.0,0.3047481833161358,0.3584887432850011,0.0,0.6094963666322716,0.0,0.0,0.0,0.0,0.0,0.3047481833161358,0.0,0.0,0.0,0.3047481833161358,0.0,0.0,0.0,0.0,0.0,0.3584887432850011,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.34491747396871514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34491747396871514,0.0,0.0,0.2800262685712576,0.3097553883562262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44343404343949755,0.0,0.0,0.0,0.0,0.34491747396871514,0.0,0.0,0.5216310438100489,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32633712440316487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23555201591309358,0.26055950586180604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43878470601782665,0.0,0.0,0.43878470601782665,0.43878470601782665,0.0,0.0,0.43878470601782665,0.0,0.0,0.0
0.0,0.0,0.32409160208048754,0.0,0.0,0.0,0.0,0.0,0.0,0.490135332194418,0.0,0.0,0.0,0.32409160208048754,0.0,0.0,0.263118481535996,0.0,0.0,0.0,0.0,0.490135332194418,0.490135332194418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4223814630207201,0.0,0.4223814630207201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590628323289994,0.0,0.0,0.0,0.0,0.0,0.3590628323289994,0.0,0.0,0.0,0.3590628323289994,0.0,0.0,0.0,0.0,0.0,0.0,0.2792907918443762,0.0,0.4223814630207201,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5699850769444247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3059840784632642,0.338469021277166,0.0,0.0,0.0,0.0,0.0,0.5699850769444247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768905537208124,0.0,0.0,0.0,0.0
0.45099082964060616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33541517846598257,0.0,0.45099082964060616,0.0,0.0,0.0,0.0,0.0,0.24210460762013755,0.26780775653239874,0.45099082964060616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833834077070223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4456863521495233,0.2947006559328235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947006559328235,0.0,0.0,0.0,0.0,0.0,0.4456863521495233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4456863521495233,0.0,0.0,0.0,0.2947006559328235,0.0,0.0,0.0,0.37887411722265224
